date,home,away,market,ev
2026-01-25T03:00:00Z,Edmonton Oilers,Washington Capitals,ev_away_ml,0.2595
2026-01-25T01:00:00Z,St. Louis Blues,Los Angeles Kings,ev_home_ml,0.2434
2026-01-25T00:00:00Z,Winnipeg Jets,Detroit Red Wings,ev_under,0.2162
2026-01-25T00:00:00Z,Ottawa Senators,Carolina Hurricanes,ev_home_ml,0.2035
2026-01-25T03:00:00Z,Edmonton Oilers,Washington Capitals,ev_under,0.1957
2026-01-24T18:30:00Z,Nashville Predators,Utah Mammoth,ev_home_ml,0.1564
2026-01-25T02:00:00Z,Minnesota Wild,Florida Panthers,ev_away_pl_+1.5,0.121
2026-01-25T02:00:00Z,Minnesota Wild,Florida Panthers,ev_under,0.1056
2026-01-25T00:00:00Z,Boston Bruins,Montréal Canadiens,ev_home_ml,0.0917
2026-01-25T00:00:00Z,Winnipeg Jets,Detroit Red Wings,ev_away_ml,0.053
2026-01-25T02:00:00Z,Minnesota Wild,Florida Panthers,ev_home_ml,0.0511
2026-01-24T18:00:00Z,New York Islanders,Buffalo Sabres,ev_away_ml,0.0505
2026-01-25T00:00:00Z,Boston Bruins,Montréal Canadiens,ev_under,0.0459
2026-01-25T00:00:00Z,Ottawa Senators,Carolina Hurricanes,ev_under,0.0439
2026-01-24T18:00:00Z,New York Islanders,Buffalo Sabres,ev_away_pl_+1.5,0.0363
2026-01-25T00:00:00Z,Winnipeg Jets,Detroit Red Wings,ev_away_pl_+1.5,0.0344
2026-01-25T00:00:00Z,Columbus Blue Jackets,Tampa Bay Lightning,ev_over,0.0157
2026-01-24T18:00:00Z,New York Islanders,Buffalo Sabres,ev_under,0.0012
2026-01-25T03:00:00Z,Edmonton Oilers,Washington Capitals,ev_away_pl_+1.5,-0.0108
2026-01-25T01:00:00Z,St. Louis Blues,Los Angeles Kings,ev_under,-0.017
2026-01-24T18:30:00Z,Nashville Predators,Utah Mammoth,ev_under,-0.0246
2026-01-25T00:00:00Z,Boston Bruins,Montréal Canadiens,ev_away_pl_+1.5,-0.0366
2026-01-25T00:00:00Z,Columbus Blue Jackets,Tampa Bay Lightning,ev_away_ml,-0.0384
2026-01-25T00:00:00Z,Columbus Blue Jackets,Tampa Bay Lightning,ev_home_ml,-0.0452
2026-01-25T00:00:00Z,Boston Bruins,Montréal Canadiens,ev_home_pl_-1.5,-0.0523
2026-01-24T18:30:00Z,Nashville Predators,Utah Mammoth,ev_over,-0.0577
2026-01-25T01:00:00Z,St. Louis Blues,Los Angeles Kings,ev_over,-0.0712
2026-01-25T03:00:00Z,Edmonton Oilers,Washington Capitals,ev_home_pl_-1.5,-0.0873
2026-01-24T18:00:00Z,New York Islanders,Buffalo Sabres,ev_over,-0.0884
2026-01-25T00:00:00Z,Columbus Blue Jackets,Tampa Bay Lightning,ev_under,-0.1031
2026-01-25T00:00:00Z,Winnipeg Jets,Detroit Red Wings,ev_home_ml,-0.1246
2026-01-24T18:00:00Z,New York Islanders,Buffalo Sabres,ev_home_ml,-0.1364
2026-01-25T00:00:00Z,Ottawa Senators,Carolina Hurricanes,ev_over,-0.1389
2026-01-25T00:00:00Z,Boston Bruins,Montréal Canadiens,ev_over,-0.1399
2026-01-25T02:00:00Z,Minnesota Wild,Florida Panthers,ev_away_ml,-0.147
2026-01-25T00:00:00Z,Boston Bruins,Montréal Canadiens,ev_away_ml,-0.1877
2026-01-25T00:00:00Z,Winnipeg Jets,Detroit Red Wings,ev_home_pl_-1.5,-0.1986
2026-01-24T18:00:00Z,New York Islanders,Buffalo Sabres,ev_home_pl_-1.5,-0.2152
2026-01-25T02:00:00Z,Minnesota Wild,Florida Panthers,ev_over,-0.2192
2026-01-24T18:30:00Z,Nashville Predators,Utah Mammoth,ev_away_ml,-0.2313
2026-01-25T03:00:00Z,Edmonton Oilers,Washington Capitals,ev_home_ml,-0.2364
2026-01-25T00:00:00Z,Ottawa Senators,Carolina Hurricanes,ev_away_ml,-0.2447
2026-01-25T00:00:00Z,Winnipeg Jets,Detroit Red Wings,ev_over,-0.2485
2026-01-25T03:00:00Z,Edmonton Oilers,Washington Capitals,ev_over,-0.2498
2026-01-25T01:00:00Z,St. Louis Blues,Los Angeles Kings,ev_away_ml,-0.2707
2026-01-25T02:00:00Z,Minnesota Wild,Florida Panthers,ev_home_pl_-1.5,-0.3658
