date,home,away,market,ev,date_key,model_total,p_home_ml,p_away_ml,period1_home_proj,period1_away_proj,p_f10_yes,p_f10_no,home_ml_odds,away_ml_odds,over_odds,under_odds,home_pl_-1.5_odds,away_pl_+1.5_odds,p_over,p_under,p_home_pl_-1.5,p_away_pl_+1.5,total_line_used,home_gd10,away_gd10,form_delta,rest_delta,b2b_delta,total_bias,market_group,bet,prob,price,book,totals_line,side,edge_score,edge_reasons,edge_drivers
2026-04-24,Utah Mammoth,Vegas Golden Knights,ev_over,0.5651794871794872,2026-04-24,9.0165,0.5354166666666667,0.46458333333333335,1.4933333333333334,1.3933333333333333,0.7955980062755544,0.20440199372444556,-108.0,-112.0,-130.0,110.0,210.0,-285.0,0.8846666666666667,0.11533333333333333,0.296,0.704,5.5,,,,,,3.5165000000000006,totals,over,0.8846666666666667,-130.0,,5.5,Over 5.5,0.8934824579914838,total 9.02 vs line 5.5 (+3.52); p=0.885; P1 pace 2.89,MODEL OVR · LINE+ · PACE+
2026-04-24,Anaheim Ducks,Edmonton Oilers,ev_over,0.3383387096774193,2026-04-24,9.2095,0.5150833333333333,0.48491666666666666,1.4825,1.4673333333333334,0.8025773334973603,0.19742266650263973,110.0,-130.0,-155.0,130.0,,,0.8135,0.1865,0.2805,0.7195,6.5,,,,,,2.7095000000000002,totals,over,0.8135,-155.0,,6.5,Over 6.5,0.8304206468385885,total 9.21 vs line 6.5 (+2.71); p=0.814; P1 pace 2.95,MODEL OVR · LINE+ · PACE+
2026-04-24,Montréal Canadiens,Tampa Bay Lightning,ev_over,0.17819135802469122,2026-04-24,6.902166666666667,0.44966666666666666,0.5503333333333333,1.0551666666666666,1.1553333333333333,0.7035198468843209,0.2964801531156791,102.0,-122.0,-135.0,114.0,,,0.6768333333333333,0.32316666666666666,0.2075,0.7925,5.5,,,,,,1.402166666666667,totals,over,0.6768333333333333,-135.0,,5.5,Over 5.5,0.6525789383523536,total 6.90 vs line 5.5 (+1.40); p=0.677; P1 pace 2.21,MODEL OVR · LINE+ · PACE+
2026-04-24,Utah Mammoth,Vegas Golden Knights,ev_under,-0.7578,2026-04-24,9.0165,0.5354166666666667,0.46458333333333335,1.4933333333333334,1.3933333333333333,0.7955980062755544,0.20440199372444556,-108.0,-112.0,-130.0,110.0,210.0,-285.0,0.8846666666666667,0.11533333333333333,0.296,0.704,5.5,,,,,,3.5165000000000006,totals,under,0.11533333333333333,110.0,,5.5,Under 5.5,0.34733322828302604,total 9.02 vs line 5.5 (+3.52); p=0.115; P1 pace 2.89,MODEL UND · LINE- · PACE-
2026-04-24,Anaheim Ducks,Edmonton Oilers,ev_under,-0.5710500000000001,2026-04-24,9.2095,0.5150833333333333,0.48491666666666666,1.4825,1.4673333333333334,0.8025773334973603,0.19742266650263973,110.0,-130.0,-155.0,130.0,,,0.8135,0.1865,0.2805,0.7195,6.5,,,,,,2.7095000000000002,totals,under,0.1865,130.0,,6.5,Under 6.5,0.2831322943378821,total 9.21 vs line 6.5 (+2.71); p=0.186; P1 pace 2.95,MODEL UND · LINE- · PACE-
2026-04-24,Montréal Canadiens,Tampa Bay Lightning,ev_under,-0.3084233333333335,2026-04-24,6.902166666666667,0.44966666666666666,0.5503333333333333,1.0551666666666666,1.1553333333333333,0.7035198468843209,0.2964801531156791,102.0,-122.0,-135.0,114.0,,,0.6768333333333333,0.32316666666666666,0.2075,0.7925,5.5,,,,,,1.402166666666667,totals,under,0.32316666666666666,114.0,,5.5,Under 5.5,0.21658184596137187,total 6.90 vs line 5.5 (+1.40); p=0.323; P1 pace 2.21,MODEL UND · LINE- · PACE-
2026-04-24,Montréal Canadiens,Tampa Bay Lightning,ev_away_ml,0.0014262295081967635,2026-04-24,6.902166666666667,0.44966666666666666,0.5503333333333333,1.0551666666666666,1.1553333333333333,0.7035198468843209,0.2964801531156791,102.0,-122.0,-135.0,114.0,,,0.6768333333333333,0.32316666666666666,0.2075,0.7925,5.5,,,,,,1.402166666666667,moneyline,away_ml,0.5503333333333333,-122.0,,,Tampa Bay Lightning,0.10066666666666668,p=0.550,MODEL AWAY
2026-04-24,Montréal Canadiens,Tampa Bay Lightning,ev_home_ml,-0.09167333333333333,2026-04-24,6.902166666666667,0.44966666666666666,0.5503333333333333,1.0551666666666666,1.1553333333333333,0.7035198468843209,0.2964801531156791,102.0,-122.0,-135.0,114.0,,,0.6768333333333333,0.32316666666666666,0.2075,0.7925,5.5,,,,,,1.402166666666667,moneyline,home_ml,0.44966666666666666,102.0,,,Montréal Canadiens,0.10066666666666668,p=0.450,MODEL HOME
2026-04-24,Utah Mammoth,Vegas Golden Knights,ev_home_ml,0.03117283950617289,2026-04-24,9.0165,0.5354166666666667,0.46458333333333335,1.4933333333333334,1.3933333333333333,0.7955980062755544,0.20440199372444556,-108.0,-112.0,-130.0,110.0,210.0,-285.0,0.8846666666666667,0.11533333333333333,0.296,0.704,5.5,,,,,,3.5165000000000006,moneyline,home_ml,0.5354166666666667,-108.0,,,Utah Mammoth,0.0708333333333333,p=0.535,MODEL HOME
2026-04-24,Utah Mammoth,Vegas Golden Knights,ev_away_ml,-0.12061011904761904,2026-04-24,9.0165,0.5354166666666667,0.46458333333333335,1.4933333333333334,1.3933333333333333,0.7955980062755544,0.20440199372444556,-108.0,-112.0,-130.0,110.0,210.0,-285.0,0.8846666666666667,0.11533333333333333,0.296,0.704,5.5,,,,,,3.5165000000000006,moneyline,away_ml,0.46458333333333335,-112.0,,,Vegas Golden Knights,0.0708333333333333,p=0.465,MODEL AWAY
