date,player,team,market,line,over_price,under_price,book,actual
2025-10-19,Alex Ovechkin,WSH,ASSISTS,0.5,140,-182,draftkings,
2025-10-19,Alex Ovechkin,WSH,ASSISTS,0.5,143,-192,pinnacle,
2025-10-19,Alex Ovechkin,WSH,GOALS,0.5,130,-170,fanduel,
2025-10-19,Alex Ovechkin,WSH,POINTS,0.5,-188,145,draftkings,
2025-10-19,Alex Ovechkin,WSH,POINTS,0.5,-210,162,fanduel,
2025-10-19,Alex Ovechkin,WSH,POINTS,0.5,-199,147,pinnacle,
2025-10-19,Alex Ovechkin,WSH,SOG,3.5,115,-148,draftkings,
2025-10-19,Alex Ovechkin,WSH,SOG,3.5,114,-148,fanduel,
2025-10-19,Alex Ovechkin,WSH,SOG,3.5,113,-150,pinnacle,
2025-10-19,Alex Killorn,ANA,ASSISTS,0.5,230,-320,draftkings,
2025-10-19,Alex Killorn,ANA,ASSISTS,0.5,259,-379,pinnacle,
2025-10-19,Alex Killorn,ANA,GOALS,0.5,320,-490,fanduel,
2025-10-19,Alex Killorn,ANA,POINTS,0.5,126,-162,draftkings,
2025-10-19,Alex Killorn,ANA,POINTS,0.5,124,-158,fanduel,
2025-10-19,Alex Killorn,ANA,POINTS,0.5,129,-172,pinnacle,
2025-10-19,John Carlson,WSH,ASSISTS,0.5,120,-154,draftkings,
2025-10-19,John Carlson,WSH,ASSISTS,0.5,122,-162,pinnacle,
2025-10-19,John Carlson,WSH,POINTS,0.5,-110,-120,draftkings,
2025-10-19,John Carlson,WSH,POINTS,0.5,-113,-113,fanduel,
2025-10-19,John Carlson,WSH,POINTS,0.5,-110,-120,pinnacle,
2025-10-19,John Carlson,WSH,SOG,1.5,-182,140,draftkings,
2025-10-19,John Carlson,WSH,SOG,1.5,-188,142,fanduel,
2025-10-19,John Carlson,WSH,SOG,1.5,-193,143,pinnacle,
2025-10-19,Evander Kane,VAN,ASSISTS,0.5,270,-385,draftkings,
2025-10-19,Evander Kane,VAN,ASSISTS,0.5,290,-475,pinnacle,
2025-10-19,Evander Kane,VAN,GOALS,0.5,370,-600,fanduel,
2025-10-19,Evander Kane,VAN,POINTS,0.5,140,-182,draftkings,
2025-10-19,Evander Kane,VAN,POINTS,0.5,144,-186,fanduel,
2025-10-19,Evander Kane,VAN,POINTS,0.5,145,-196,pinnacle,
2025-10-19,Evander Kane,VAN,SOG,2.5,140,-182,draftkings,
2025-10-19,Evander Kane,VAN,SOG,2.5,136,-178,fanduel,
2025-10-19,Evander Kane,VAN,SOG,2.5,140,-190,pinnacle,
2025-10-19,Chris Kreider,ANA,ASSISTS,0.5,210,-285,draftkings,
2025-10-19,Chris Kreider,ANA,ASSISTS,0.5,219,-311,pinnacle,
2025-10-19,Chris Kreider,ANA,GOALS,0.5,180,-250,fanduel,
2025-10-19,Chris Kreider,ANA,POINTS,0.5,-115,-115,draftkings,
2025-10-19,Chris Kreider,ANA,POINTS,0.5,-128,100,fanduel,
2025-10-19,Chris Kreider,ANA,POINTS,0.5,-114,-117,pinnacle,
2025-10-19,Chris Kreider,ANA,SOG,1.5,-182,140,draftkings,
2025-10-19,Chris Kreider,ANA,SOG,1.5,-188,142,fanduel,
