team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Carolina Hurricanes,1611346,1,Sebastian Aho,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.4486,0.3318,0.2422,0.574,0.0,0.0,452.6281
Carolina Hurricanes,1611346,2,Sebastian Aho,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.5442,0.3564,0.2348,0.5912,0.0,0.0,452.4962
Carolina Hurricanes,1611346,3,Sebastian Aho,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.468,0.3332,0.2346,0.5678,0.0,0.0,453.0041
Carolina Hurricanes,1611346,4,Sebastian Aho,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0222,0.0022,0.0,0.0022,0.0,0.0,3.2805
Carolina Hurricanes,3839006,1,Andrei Svechnikov,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.3362,0.3362,0.0,0.0,60.0
Carolina Hurricanes,3839006,2,Andrei Svechnikov,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.3642,0.3642,0.0,0.0,60.0
Carolina Hurricanes,3839006,3,Andrei Svechnikov,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.3484,0.3484,0.0,0.0,60.0
Carolina Hurricanes,3839006,4,Andrei Svechnikov,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0956,0.007,0.0,0.007,0.0,0.0,8.459775
Carolina Hurricanes,4012762,1,Nikolaj Ehlers,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.3946,0.3442,0.2282,0.5724,0.0,0.0,452.6281
Carolina Hurricanes,4012762,2,Nikolaj Ehlers,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.6008,0.3488,0.2426,0.5914,0.0,0.0,452.4962
Carolina Hurricanes,4012762,3,Nikolaj Ehlers,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.4702,0.3354,0.227,0.5624,0.0,0.0,453.0041
Carolina Hurricanes,4012762,4,Nikolaj Ehlers,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.1296,0.0126,0.0,0.0126,0.0,0.0,12.831975
Carolina Hurricanes,4894135,1,Seth Jarvis,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.3446,0.3446,0.0,0.0,60.0
Carolina Hurricanes,4894135,2,Seth Jarvis,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.358,0.358,0.0,0.0,60.0
Carolina Hurricanes,4894135,3,Seth Jarvis,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.333,0.333,0.0,0.0,60.0
Carolina Hurricanes,4894135,4,Seth Jarvis,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0974,0.0076,0.0,0.0076,0.0,0.0,8.459775
Carolina Hurricanes,8302210,1,Taylor Hall,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.3744,0.3442,0.2282,0.5724,0.0,0.0,452.6281
Carolina Hurricanes,8302210,2,Taylor Hall,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.5686,0.3556,0.2338,0.5894,0.0,0.0,452.4962
Carolina Hurricanes,8302210,3,Taylor Hall,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.4488,0.3396,0.2112,0.5508,0.0,0.0,453.0041
Carolina Hurricanes,8302210,4,Taylor Hall,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.128,0.0142,0.0,0.0142,0.0,0.0,12.831975
Los Angeles Kings,2944409,1,Trevor Moore,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.2376,0.2376,0.0,0.0,60.0
Los Angeles Kings,2944409,2,Trevor Moore,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.2442,0.2442,0.0,0.0,60.0
Los Angeles Kings,2944409,3,Trevor Moore,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.2286,0.2286,0.0,0.0,60.0
Los Angeles Kings,2944409,4,Trevor Moore,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.01,0.0008,0.0,0.0008,0.0,0.0,0.7416
Los Angeles Kings,3730037,1,Kevin Fiala,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.3006,0.3398,0.157,0.4968,0.0,0.0,452.7021
Los Angeles Kings,3730037,2,Kevin Fiala,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.4794,0.3606,0.1654,0.526,0.0,0.0,452.5642
Los Angeles Kings,3730037,3,Kevin Fiala,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.4002,0.3312,0.1376,0.4688,0.0,0.0,453.1781
Los Angeles Kings,3730037,4,Kevin Fiala,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.175,0.0192,0.0,0.0192,0.0,0.0,16.123725
