team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Boston Bruins,8477956,,SOG,2.0,1091,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477956,,GOALS,1.0,2144,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477956,,ASSISTS,0.0,4494,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477956,,POINTS,1.0,2252,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477956,,BLOCKS,1.0,2240,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477956,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477496,,SOG,2.0,1409,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477496,,GOALS,0.0,5199,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477496,,ASSISTS,1.0,1870,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477496,,POINTS,1.0,2080,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477496,,BLOCKS,2.0,1424,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477496,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479987,,SOG,4.0,1066,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479987,,GOALS,0.0,4995,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479987,,ASSISTS,0.0,3451,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479987,,POINTS,0.0,2885,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479987,,BLOCKS,1.0,2068,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479987,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479325,,SOG,1.0,898,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479325,,GOALS,0.0,4934,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479325,,ASSISTS,2.0,414,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479325,,POINTS,2.0,705,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479325,,BLOCKS,4.0,669,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479325,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
