date,player,team,position,market,proj_lambda,source
2026-04-23,Alex Steeves,BOS,F,ASSISTS,0.13201649487018585,nn
2026-04-23,Alex Steeves,BOS,F,BLOCKS,0.656417191028595,nn
2026-04-23,Alex Steeves,BOS,F,GOALS,0.08459844440221786,nn
2026-04-23,Alex Steeves,BOS,F,POINTS,0.20781821012496948,nn
2026-04-23,Alex Steeves,BOS,F,SOG,1.3998627662658691,nn
2026-04-23,Andrew Peeke,BOS,F,ASSISTS,4.306619302951731e-06,nn
2026-04-23,Andrew Peeke,BOS,F,BLOCKS,1.3878729343414307,nn
2026-04-23,Andrew Peeke,BOS,F,GOALS,1.9623374214461364e-07,nn
2026-04-23,Andrew Peeke,BOS,F,POINTS,2.748333827184979e-05,nn
2026-04-23,Andrew Peeke,BOS,F,SOG,2.0138731002807617,nn
2026-04-23,Casey Mittelstadt,BOS,F,ASSISTS,0.42806899547576904,nn
2026-04-23,Casey Mittelstadt,BOS,F,BLOCKS,0.2714955508708954,nn
2026-04-23,Casey Mittelstadt,BOS,F,GOALS,0.08459844440221786,nn
2026-04-23,Casey Mittelstadt,BOS,F,POINTS,0.5269216299057007,nn
2026-04-23,Casey Mittelstadt,BOS,F,SOG,1.2340816259384155,nn
2026-04-23,Charlie McAvoy,BOS,F,ASSISTS,0.5324771404266357,nn
2026-04-23,Charlie McAvoy,BOS,F,BLOCKS,1.8682371377944946,nn
2026-04-23,Charlie McAvoy,BOS,F,GOALS,0.08459844440221786,nn
2026-04-23,Charlie McAvoy,BOS,F,POINTS,0.6704043745994568,nn
2026-04-23,Charlie McAvoy,BOS,F,SOG,1.8610289096832275,nn
2026-04-23,David Pastrnak,BOS,F,ASSISTS,0.9960920810699463,nn
2026-04-23,David Pastrnak,BOS,F,BLOCKS,0.5068967342376709,nn
2026-04-23,David Pastrnak,BOS,F,GOALS,0.08459844440221786,nn
2026-04-23,David Pastrnak,BOS,F,POINTS,1.186834454536438,nn
2026-04-23,David Pastrnak,BOS,F,SOG,3.0682480335235596,nn
2026-04-23,Elias Lindholm,BOS,F,ASSISTS,0.24883908033370972,nn
2026-04-23,Elias Lindholm,BOS,F,BLOCKS,0.5623853206634521,nn
2026-04-23,Elias Lindholm,BOS,F,GOALS,0.18977323174476624,nn
2026-04-23,Elias Lindholm,BOS,F,POINTS,0.43819698691368103,nn
2026-04-23,Elias Lindholm,BOS,F,SOG,2.1072702407836914,nn
2026-04-23,Fraser Minten,BOS,F,ASSISTS,0.0031745631713420153,nn
2026-04-23,Fraser Minten,BOS,F,BLOCKS,0.6846850514411926,nn
2026-04-23,Fraser Minten,BOS,F,GOALS,0.08459844440221786,nn
2026-04-23,Fraser Minten,BOS,F,POINTS,0.09867753833532333,nn
2026-04-23,Fraser Minten,BOS,F,SOG,1.728424310684204,nn
2026-04-23,Hampus Lindholm,BOS,F,ASSISTS,0.24883908033370972,nn
2026-04-23,Hampus Lindholm,BOS,F,BLOCKS,0.5623853206634521,nn
2026-04-23,Hampus Lindholm,BOS,F,GOALS,0.18977323174476624,nn
2026-04-23,Hampus Lindholm,BOS,F,POINTS,0.43819698691368103,nn
2026-04-23,Hampus Lindholm,BOS,F,SOG,2.1072702407836914,nn
2026-04-23,Henri Jokiharju,BOS,F,ASSISTS,0.5455823540687561,nn
2026-04-23,Henri Jokiharju,BOS,F,BLOCKS,1.1790086030960083,nn
2026-04-23,Henri Jokiharju,BOS,F,GOALS,0.18977323174476624,nn
2026-04-23,Henri Jokiharju,BOS,F,POINTS,0.8091866374015808,nn
2026-04-23,Henri Jokiharju,BOS,F,SOG,1.7885371446609497,nn
2026-04-23,James Hagens,BOS,F,ASSISTS,0.3915223181247711,nn
2026-04-23,James Hagens,BOS,F,BLOCKS,0.07500476390123367,nn
2026-04-23,James Hagens,BOS,F,GOALS,1.9623374214461364e-07,nn
2026-04-23,James Hagens,BOS,F,POINTS,0.36864376068115234,nn
2026-04-23,James Hagens,BOS,F,SOG,1.217583417892456,nn
2026-04-23,Jeremy Swayman,BOS,F,ASSISTS,0.4,trad
2026-04-23,Jeremy Swayman,BOS,F,BLOCKS,1.5,trad
2026-04-23,Jeremy Swayman,BOS,F,GOALS,0.3,trad
2026-04-23,Jeremy Swayman,BOS,F,POINTS,2.748333827184979e-05,nn
2026-04-23,Jeremy Swayman,BOS,F,SOG,2.0,trad
2026-04-23,Jonathan Aspirot,BOS,F,ASSISTS,0.13201649487018585,nn
2026-04-23,Jonathan Aspirot,BOS,F,BLOCKS,1.5636030435562134,nn
2026-04-23,Jonathan Aspirot,BOS,F,GOALS,1.9623374214461364e-07,nn
2026-04-23,Jonathan Aspirot,BOS,F,POINTS,0.10910529643297195,nn
2026-04-23,Jonathan Aspirot,BOS,F,SOG,1.3172770738601685,nn
2026-04-23,Joonas Korpisalo,BOS,F,ASSISTS,0.4,trad
