date,player,team,market,proj_lambda,p_over,ev_over
2025-10-09,Joel Edmundson,,GOALS,0.3,0.03693631311376678,4.5773832801787835
2025-10-09,Cody Ceci,,GOALS,0.3,0.03693631311376678,4.5773832801787835
2025-10-09,Brian Dumoulin,,GOALS,0.3,0.03693631311376678,4.5773832801787835
2025-10-09,Brayden Pachal,,GOALS,0.3,0.03693631311376678,3.653975452334614
2025-10-09,Kevin Bahl,,GOALS,0.3,0.03693631311376678,3.653975452334614
2025-10-09,Jacob Moverare,,GOALS,0.3,0.03693631311376678,3.653975452334614
2025-10-09,Kaedan Korczak,,GOALS,0.3,0.03693631311376678,3.653975452334614
2025-10-09,Joel Hanley,,GOALS,0.3,0.03693631311376678,3.653975452334614
2025-10-09,Mikey Anderson,,GOALS,0.3,0.03693631311376678,3.653975452334614
2025-10-09,Brayden McNabb,,GOALS,0.3,0.03693631311376678,3.653975452334614
2025-10-09,Troy Stecher,,GOALS,0.3,0.03693631311376678,3.4692938867657803
2025-10-09,Brett Kulak,,GOALS,0.3,0.03693631311376678,3.4692938867657803
2025-10-09,Ben Hutton,,GOALS,0.3,0.03693631311376678,2.730567624490445
2025-10-09,Jake Bean,,GOALS,0.3,0.03693631311376678,2.730567624490445
2025-10-09,Jeremy Lauzon,,GOALS,0.3,0.03693631311376678,2.730567624490445
2025-10-09,Zach Whitecloud,,GOALS,0.3,0.03693631311376678,2.730567624490445
2025-10-09,Darnell Nurse,,GOALS,0.3,0.03693631311376678,2.3612044933527767
2025-10-09,Brandt Clarke,,GOALS,0.3,0.03693631311376678,2.3612044933527767
2025-10-09,Daniil Miromanov,,GOALS,0.3,0.03693631311376678,1.8071597966462751
2025-10-09,Ty Emberson,,GOALS,0.3,0.03693631311376678,1.8071597966462751
2025-10-09,Alex Turcotte,,GOALS,0.3,0.03693631311376678,1.4747329786223742
2025-10-09,Samuel Helenius,,GOALS,0.3,0.03693631311376678,1.4747329786223742
2025-10-09,Ryan Lomberg,,GOALS,0.3,0.03693631311376678,1.4747329786223742
2025-10-09,Akil Thomas,,GOALS,0.3,0.03693631311376678,1.4747329786223742
2025-10-09,Jeff Malott,,GOALS,0.3,0.03693631311376678,1.4747329786223742
2025-10-09,Drew Doughty,,GOALS,0.3,0.25918177931828207,1.3326360138645386
2025-10-09,Drew Doughty,,GOALS,0.3,0.03693631311376678,1.2531150999397735
2025-10-09,Justin Kirkland,,GOALS,0.3,0.03693631311376678,1.2531150999397735
2025-10-09,MacKenzie Weegar,,GOALS,0.3,0.25918177931828207,1.0734542345462565
2025-10-09,Mattias Janmark,,GOALS,0.3,0.03693631311376678,1.0684335343709397
2025-10-09,Jake Walman,,GOALS,0.3,0.03693631311376678,1.0684335343709397
2025-10-09,Rasmus Andersson,,GOALS,0.3,0.03693631311376678,1.0684335343709397
2025-10-09,Mattias Ekholm,,GOALS,0.3,0.03693631311376678,1.0684335343709397
2025-10-09,Noah Hanifin,,GOALS,0.3,0.03693631311376678,0.8837519688021058
2025-10-09,Colton Sissons,,GOALS,0.3,0.03693631311376678,0.8837519688021058
2025-10-09,Joel Armia,,GOALS,0.3,0.03693631311376678,0.8837519688021058
2025-10-09,Keegan Kolesar,,GOALS,0.3,0.03693631311376678,0.8837519688021058
2025-10-09,Dryden Hunt,,GOALS,0.3,0.03693631311376678,0.6990704032332717
2025-10-09,Curtis Lazar,,GOALS,0.3,0.03693631311376678,0.6990704032332717
2025-10-09,MacKenzie Weegar,,GOALS,0.3,0.03693631311376678,0.6990704032332717
2025-10-09,Shea Theodore,,GOALS,0.3,0.03693631311376678,0.6990704032332717
2025-10-09,Phillip Danault,,GOALS,0.3,0.03693631311376678,0.6990704032332717
2025-10-09,Mikael Backlund,,GOALS,0.3,0.25918177931828207,0.5550906759096923
2025-10-09,Blake Coleman,,GOALS,0.3,0.25918177931828207,0.5550906759096923
2025-10-09,Brandon Saad,,GOALS,0.3,0.03693631311376678,0.5143888376644379
2025-10-09,Kasperi Kapanen,,GOALS,0.3,0.03693631311376678,0.5143888376644379
2025-10-09,Gustav Forsling,,POINTS,0.7,0.5034146962085905,0.45990261900491236
2025-10-09,Evan Bouchard,,GOALS,0.3,0.25918177931828207,0.39958160831872314
2025-10-09,Connor Zary,,GOALS,0.3,0.25918177931828207,0.39958160831872314
2025-10-09,Anze Kopitar,,SOG,2.0,0.5939941502901616,0.37806642867317497
2025-10-09,Rasmus Andersson,,POINTS,0.7,0.5034146962085905,0.36425382672528017
2025-10-09,Rasmus Andersson,,POINTS,0.7,0.5034146962085905,0.35921967976319436
2025-10-09,Rasmus Andersson,,POINTS,0.7,0.5034146962085905,0.3340489449527647
2025-10-09,Mikael Backlund,,POINTS,0.7,0.5034146962085905,0.3340489449527647
2025-10-09,Rasmus Andersson,,POINTS,0.7,0.5034146962085905,0.3340489449527647
2025-10-09,Adam Henrique,,GOALS,0.3,0.03693631311376678,0.329707272095604
2025-10-09,Mikael Backlund,,GOALS,0.3,0.03693631311376678,0.329707272095604
2025-10-09,Mattias Ekholm,,POINTS,0.7,0.5034146962085905,0.3088782101423353
2025-10-09,Mikael Backlund,,POINTS,0.7,0.5034146962085905,0.29880991621816344
2025-10-09,Andrew Mangiapane,,GOALS,0.3,0.25918177931828207,0.2959088965914103
