date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev
2025-10-12,Artemi Panarin,,SOG,2.5,2.0,0.32332358381693654,-165,126.0,fanduel,Under,0.5292887005737231
2025-10-12,Artemi Panarin,,SOG,2.5,2.0,0.32332358381693654,-162,120.0,williamhill_us,Under,0.4886881156027396
2025-10-12,Artemi Panarin,,SOG,2.5,2.0,0.32332358381693654,-154,120.0,draftkings,Under,0.4886881156027396
2025-10-12,Artemi Panarin,,SOG,2.5,2.0,0.32332358381693654,-155,120.0,bovada,Under,0.4886881156027396
2025-10-12,Alex Ovechkin,,SOG,3.5,2.0,0.14287653950145296,110,-143.0,betonlineag,Under,0.45651049581221614
2025-10-12,Alex Ovechkin,,SOG,3.5,2.0,0.14287653950145296,112,-146.0,fanduel,Under,0.44419432385371627
2025-10-12,Alex Ovechkin,,SOG,3.5,2.0,0.14287653950145296,115,-148.0,draftkings,Under,0.43626093380837616
2025-10-12,Total Shots On Goal,,SOG,3.5,2.0,0.14287653950145296,115,-150.0,bovada,Under,0.4285391008309116
2025-10-12,Alex Ovechkin,,SOG,3.5,2.0,0.14287653950145296,115,-150.0,bovada,Under,0.4285391008309116
2025-10-12,Alex Ovechkin,,SOG,3.5,2.0,0.14287653950145296,110,-150.0,williamhill_us,Under,0.4285391008309116
2025-10-12,Artemi Panarin,,POINTS,0.5,0.7,0.5034146962085905,-230,176.0,fanduel,Under,0.3705754384642902
2025-10-12,Artemi Panarin,,POINTS,0.5,0.7,0.5034146962085905,-234,176.0,draftkings,Under,0.3705754384642902
2025-10-12,1.5,,BLOCKS,1.5,1.5,0.4421745996289252,-175,135.0,bovada,Under,0.31088969087202567
2025-10-12,Artemi Panarin,,SOG,3.5,2.0,0.14287653950145296,158,-208.0,betonlineag,Under,0.2692020472766947
2025-10-12,Artemi Panarin,,ASSISTS,0.5,0.4,0.32967995396436056,-115,-115.0,draftkings,Under,0.25320704258836935
2025-10-12,Mika Zibanejad,,SOG,2.5,2.0,0.32332358381693654,-110,-120.0,bovada,Under,0.24057342966894968
2025-10-12,Mika Zibanejad,,SOG,2.5,2.0,0.32332358381693654,-110,-120.0,draftkings,Under,0.24057342966894968
2025-10-12,Total Shots On Goal,,SOG,2.5,2.0,0.32332358381693654,-110,-120.0,bovada,Under,0.24057342966894968
2025-10-12,Mika Zibanejad,,SOG,2.5,2.0,0.32332358381693654,-106,-122.0,betonlineag,Under,0.23132921633311543
2025-10-12,Pierre-Luc Dubois,,SOG,1.5,2.0,0.5939941502901616,104,-135.0,fanduel,Over,0.21174806659192957
2025-10-12,Mika Zibanejad,,SOG,2.5,2.0,0.32332358381693654,-102,-128.0,fanduel,Under,0.20532986632608163
2025-10-12,Pierre-Luc Dubois,,SOG,1.5,2.0,0.5939941502901616,100,-130.0,bovada,Over,0.18798830058032312
2025-10-12,Pierre-Luc Dubois,,SOG,1.5,2.0,0.5939941502901616,100,-130.0,draftkings,Over,0.18798830058032312
