date,player,team,opp,market,line,book,over_price,under_price,proj_lambda,p_over,side,ev,chosen_prob,source,team_norm,player_norm
2026-03-01,Sam Reinhart,FLA,NYI,GOALS,0.5,fanduel,145.0,-200.0,0.0,0.0,Under,0.5,1.0,ev,FLA,sam reinhart
2026-03-01,Mikael Backlund,CGY,ANA,GOALS,0.5,fanduel,320.0,-490.0,0.0002,0.000375,Under,0.2036301020408163,0.999625,ev,CGY,mikael backlund
2026-03-01,Yegor Sharangovich,CGY,ANA,ASSISTS,0.5,betmgm,300.0,-450.0,0.0,0.0,Under,0.2222222222222223,1.0,ev,CGY,yegor sharangovich
2026-03-01,Emil Heineman,NYI,FLA,ASSISTS,0.5,betmgm,360.0,-550.0,0.0,0.0,Under,0.1818181818181818,1.0,ev,NYI,emil heineman
2026-03-01,Sam Bennett,FLA,NYI,GOALS,0.5,fanduel,220.0,-310.0,0.0932,0.08775,Under,0.206524193548387,0.91225,ev,FLA,sam bennett
2026-03-01,Aaron Ekblad,FLA,NYI,POINTS,0.5,pinnacle,156.0,-212.0,0.1225,0.109812,Under,0.3122028301886793,0.891625,ev,FLA,aaron ekblad
2026-03-01,Aaron Ekblad,FLA,NYI,ASSISTS,0.5,pinnacle,205.0,-287.0,0.1262,0.114437,Under,0.1974076655052265,0.888,ev,FLA,aaron ekblad
2026-03-01,Gustav Forsling,FLA,NYI,ASSISTS,0.5,betmgm,220.0,-300.0,0.1262,0.11425,Under,0.181,0.88575,ev,FLA,gustav forsling
2026-03-01,Yegor Sharangovich,CGY,ANA,GOALS,0.5,fanduel,290.0,-440.0,0.0784,0.072438,Under,0.1383715454545454,0.927562,ev,CGY,yegor sharangovich
2026-03-01,Matt Coronato,CGY,ANA,GOALS,0.5,fanduel,275.0,-420.0,0.0784,0.074875,Under,0.1453928571428571,0.925125,ev,CGY,matt coronato
2026-03-01,Yegor Sharangovich,CGY,ANA,POINTS,0.5,draftkings,145.0,-188.0,0.0899,0.083312,Under,0.4022765957446809,0.915375,ev,CGY,yegor sharangovich
2026-03-01,Emil Heineman,NYI,FLA,GOALS,0.5,fanduel,350.0,-550.0,0.0801,0.074125,Under,0.0942159090909091,0.925875,ev,NYI,emil heineman
2026-03-01,Mason McTavish,ANA,CGY,ASSISTS,0.5,betmgm,185.0,-250.0,0.1198,0.111125,Under,0.2444249999999999,0.888875,ev,ANA,mason mctavish
2026-03-01,Sam Bennett,FLA,NYI,ASSISTS,0.5,draftkings,155.0,-204.0,0.2074,0.171937,Under,0.2435686274509804,0.8345,ev,FLA,sam bennett
2026-03-01,Emil Heineman,NYI,FLA,POINTS,0.5,betmgm,155.0,-210.0,0.1049,0.094562,Under,0.3365989523809524,0.905438,ev,NYI,emil heineman
2026-03-01,Connor Zary,CGY,ANA,ASSISTS,0.5,betmgm,280.0,-400.0,0.1207,0.107063,Under,0.1161712499999999,0.892937,ev,CGY,connor zary
2026-03-01,Anders Lee,NYI,FLA,GOALS,0.5,fanduel,290.0,-450.0,0.0945,0.089375,Under,0.1129861111111112,0.910625,ev,NYI,anders lee
2026-03-01,Morgan Frost,CGY,ANA,ASSISTS,0.5,pinnacle,341.0,-536.0,0.1239,0.114562,Under,0.0506316567164178,0.885438,ev,CGY,morgan frost
2026-03-01,Blake Coleman,CGY,ANA,ASSISTS,0.5,betmgm,350.0,-550.0,0.1239,0.118125,Under,0.0422159090909091,0.881875,ev,CGY,blake coleman
2026-03-01,Chris Kreider,ANA,CGY,ASSISTS,0.5,betmgm,180.0,-250.0,0.1552,0.131875,Under,0.2153749999999999,0.868125,ev,ANA,chris kreider
2026-03-01,Matthew Tkachuk,FLA,NYI,GOALS,0.5,fanduel,180.0,-250.0,0.235,0.194812,Under,0.1272631999999999,0.805188,ev,FLA,matthew tkachuk
2026-03-01,Brad Marchand,FLA,NYI,GOALS,0.5,fanduel,220.0,-310.0,0.2479,0.197937,Under,0.0607929999999999,0.802063,ev,FLA,brad marchand
2026-03-01,Gustav Forsling,FLA,NYI,POINTS,0.5,betmgm,170.0,-225.0,0.2757,0.21025,Under,0.1407499999999999,0.78975,ev,FLA,gustav forsling
2026-03-01,Leo Carlsson,ANA,CGY,GOALS,0.5,fanduel,170.0,-230.0,0.228,0.190938,Under,0.1608280869565216,0.809062,ev,ANA,leo carlsson
2026-03-01,Nazem Kadri,CGY,ANA,GOALS,0.5,fanduel,235.0,-340.0,0.1927,0.168437,Under,0.0761403529411766,0.831563,ev,CGY,nazem kadri
2026-03-01,Matt Coronato,CGY,ANA,ASSISTS,0.5,betmgm,210.0,-295.0,0.2211,0.183375,Under,0.093447033898305,0.8166249999999999,ev,CGY,matt coronato
2026-03-01,Leo Carlsson,ANA,CGY,ASSISTS,0.5,pinnacle,102.0,-135.0,0.2411,0.2,Under,0.3969444444444444,0.8025,ev,ANA,leo carlsson
2026-03-01,Mikael Backlund,CGY,ANA,ASSISTS,0.5,betmgm,200.0,-285.0,0.2211,0.184875,Under,0.1011337719298245,0.815125,ev,CGY,mikael backlund
2026-03-01,Bo Horvat,NYI,FLA,ASSISTS,0.5,draftkings,145.0,-188.0,0.2233,0.186125,Under,0.2502340425531915,0.816125,ev,NYI,bo horvat
2026-03-01,Matthew Schaefer,NYI,FLA,ASSISTS,0.5,draftkings,145.0,-188.0,0.2245,0.194562,Under,0.2476497021276595,0.814438,ev,NYI,matthew schaefer
2026-03-01,Matthew Tkachuk,FLA,NYI,ASSISTS,0.5,draftkings,120.0,-154.0,0.3381,0.25525,Under,0.2231996753246752,0.741625,ev,FLA,matthew tkachuk
2026-03-01,Mikael Backlund,CGY,ANA,POINTS,0.5,draftkings,105.0,-135.0,0.2473,0.20325,Under,0.3906342592592592,0.798875,ev,CGY,mikael backlund
2026-03-01,Connor Zary,CGY,ANA,POINTS,0.5,draftkings,150.0,-198.0,0.2473,0.203937,Under,0.2020642727272729,0.798687,ev,CGY,connor zary
2026-03-01,Sam Bennett,FLA,NYI,POINTS,0.5,betmgm,-145.0,110.0,0.3504,0.259875,Under,0.5542624999999999,0.7401249999999999,ev,FLA,sam bennett
2026-03-01,Brad Marchand,FLA,NYI,ASSISTS,0.5,pinnacle,164.0,-223.0,0.4193,0.300625,Under,0.0119097533632287,0.698625,ev,FLA,brad marchand
2026-03-01,Sam Reinhart,FLA,NYI,POINTS,0.5,draftkings,-198.0,150.0,0.4536,0.319875,Under,0.7192200000000002,0.6876880000000001,ev,FLA,sam reinhart
2026-03-01,Sam Reinhart,FLA,NYI,ASSISTS,0.5,draftkings,126.0,-162.0,0.4764,0.324937,Under,0.0835802469135801,0.6699999999999999,ev,FLA,sam reinhart
