date,player,team,opp,market,line,proj_lambda,lam_scale_mean,p_over,side,chosen_prob
2026-01-12,Jason Zucker,BUF,FLA,BLOCKS,3.5,0.0466,1.0065,3e-06,Under,0.999997
2026-01-12,Ryan McLeod,BUF,FLA,BLOCKS,3.5,0.0621,1.0065,9e-06,Under,0.999991
2026-01-12,Alexandre Texier,MTL,VAN,BLOCKS,3.5,0.0877,1.0004,3.1e-05,Under,0.999969
2026-01-12,Artemi Panarin,NYR,SEA,BLOCKS,3.5,0.0903,0.997,3.3e-05,Under,0.999967
2026-01-12,Roope Hintz,DAL,LAK,BLOCKS,3.5,0.103,0.9963,5.8e-05,Under,0.999942
2026-01-12,Jordan Eberle,SEA,NYR,BLOCKS,3.5,0.1061,1.0023,6.2e-05,Under,0.999938
2026-01-12,Marcus Johansson,MIN,NJD,BLOCKS,3.5,0.107,0.9972,6.7e-05,Under,0.999933
2026-01-12,Jason Zucker,BUF,FLA,BLOCKS,2.5,0.0466,1.0065,7.4e-05,Under,0.999926
2026-01-12,Alex DeBrincat,DET,CAR,BLOCKS,3.5,0.1149,1.0024,8.4e-05,Under,0.999916
2026-01-12,Valeri Nichushkin,COL,TOR,BLOCKS,3.5,0.117,0.9943,9e-05,Under,0.99991
2026-01-12,Ryan Greene,CHI,EDM,BLOCKS,3.5,0.1183,1.0015,9.5e-05,Under,0.999905
2026-01-12,Tyler Bertuzzi,CHI,EDM,BLOCKS,3.5,0.1227,1.0015,0.000108,Under,0.999892
2026-01-12,Brendan Gallagher,MTL,VAN,BLOCKS,3.5,0.1286,1.0004,0.000127,Under,0.999873
2026-01-12,Quinton Byfield,LAK,DAL,BLOCKS,3.5,0.1321,0.9974,0.000143,Under,0.999857
2026-01-12,Ryan McLeod,BUF,FLA,BLOCKS,2.5,0.0621,1.0065,0.000168,Under,0.999832
2026-01-12,Matthew Knies,TOR,COL,BLOCKS,3.5,0.1415,1.0018,0.000182,Under,0.999818
2026-01-12,Nikolaj Ehlers,CAR,DET,BLOCKS,3.5,0.1444,0.9983,0.000187,Under,0.999813
2026-01-12,Sam Bennett,FLA,BUF,BLOCKS,3.5,0.1623,0.9924,0.00028,Under,0.99972
2026-01-12,Mats Zuccarello,MIN,NJD,BLOCKS,3.5,0.1774,0.9972,0.000405,Under,0.999595
2026-01-12,Ross Colton,COL,TOR,BLOCKS,3.5,0.1829,0.9943,0.000435,Under,0.999565
2026-01-12,Alexandre Texier,MTL,VAN,BLOCKS,2.5,0.0877,1.0004,0.000442,Under,0.999558
2026-01-12,Artemi Panarin,NYR,SEA,BLOCKS,2.5,0.0903,0.997,0.000466,Under,0.999534
2026-01-12,Patrick Kane,DET,CAR,BLOCKS,3.5,0.1899,1.0024,0.000495,Under,0.999505
2026-01-12,Evander Kane,VAN,MTL,BLOCKS,3.5,0.1899,1.0037,0.000508,Under,0.999492
2026-01-12,Kaapo Kakko,SEA,NYR,BLOCKS,3.5,0.2011,1.0023,0.000601,Under,0.999399
2026-01-12,Ryan Donato,CHI,EDM,BLOCKS,3.5,0.2062,1.0015,0.000673,Under,0.999327
2026-01-12,Roope Hintz,DAL,LAK,BLOCKS,2.5,0.103,0.9963,0.00068,Under,0.99932
2026-01-12,Cole Caufield,MTL,VAN,BLOCKS,3.5,0.2111,1.0004,0.000721,Under,0.999279
2026-01-12,Jordan Eberle,SEA,NYR,BLOCKS,2.5,0.1061,1.0023,0.000738,Under,0.999262
2026-01-12,Marcus Johansson,MIN,NJD,BLOCKS,2.5,0.107,0.9972,0.000768,Under,0.999232
2026-01-12,Jack Roslovic,EDM,CHI,BLOCKS,3.5,0.2178,0.9937,0.000789,Under,0.999211
2026-01-12,Corey Perry,LAK,DAL,BLOCKS,3.5,0.2191,0.9974,0.000818,Under,0.999182
2026-01-12,Alex DeBrincat,DET,CAR,BLOCKS,2.5,0.1149,1.0024,0.000914,Under,0.999086
2026-01-12,Valeri Nichushkin,COL,TOR,BLOCKS,2.5,0.117,0.9943,0.000949,Under,0.999051
2026-01-12,John Tavares,TOR,COL,BLOCKS,3.5,0.2314,1.0018,0.000985,Under,0.999015
2026-01-12,Ryan Greene,CHI,EDM,BLOCKS,2.5,0.1183,1.0015,0.001018,Under,0.998982
2026-01-12,Logan Stankoven,CAR,DET,BLOCKS,3.5,0.2385,0.9983,0.001052,Under,0.998948
2026-01-12,Andrei Svechnikov,CAR,DET,BLOCKS,3.5,0.2385,0.9983,0.001052,Under,0.998948
2026-01-12,Brandon Hagel,TBL,PHI,BLOCKS,3.5,0.2332,1.0004,0.001089,Under,0.998911
2026-01-12,Tyler Bertuzzi,CHI,EDM,BLOCKS,2.5,0.1227,1.0015,0.001123,Under,0.998877
2026-01-12,Brendan Gallagher,MTL,VAN,BLOCKS,2.5,0.1286,1.0004,0.001264,Under,0.998736
2026-01-12,Quinton Byfield,LAK,DAL,BLOCKS,2.5,0.1321,0.9974,0.001339,Under,0.998661
2026-01-12,Matthew Knies,TOR,COL,BLOCKS,2.5,0.1415,1.0018,0.001616,Under,0.998384
2026-01-12,Carter Verhaeghe,FLA,BUF,BLOCKS,3.5,0.2736,0.9924,0.001636,Under,0.998364
2026-01-12,Nikolaj Ehlers,CAR,DET,BLOCKS,2.5,0.1444,0.9983,0.001674,Under,0.998326
2026-01-12,Jason Zucker,BUF,FLA,BLOCKS,1.5,0.0466,1.0065,0.001861,Under,0.998139
2026-01-12,Mavrik Bourque,DAL,LAK,BLOCKS,3.5,0.2853,0.9963,0.00192,Under,0.99808
2026-01-12,Sam Bennett,FLA,BUF,BLOCKS,2.5,0.1623,0.9924,0.002281,Under,0.997719
2026-01-12,Warren Foegele,LAK,DAL,BLOCKS,3.5,0.3071,0.9974,0.00243,Under,0.99757
2026-01-12,Leon Draisaitl,EDM,CHI,BLOCKS,3.5,0.3154,0.9937,0.002646,Under,0.997354
