date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-03-01,Sam Reinhart,FLA,NYI,GOALS,0.5,0.0,0.0,145,-200,fanduel,Under,-200,0.5,1.0,0.7400977439782864,p 100%; opp allow 2.70; line 0.5,1.0
2026-03-01,Andre Burakovsky,CHI,UTA,POINTS,0.5,0.0001,0.0,176,-234,draftkings,Under,-234,0.42726050427350426,0.999937,0.7307958574105312,p 100%; opp allow 7.60; line 0.5,0.999937
2026-03-01,Artyom Levshunov,CHI,UTA,ASSISTS,0.5,0.0,0.0,280,-400,betmgm,Under,-400,0.25,1.0,0.7295797558687902,p 100%; opp allow 4.80; line 0.5,1.0
2026-03-01,Andre Burakovsky,CHI,UTA,ASSISTS,0.5,0.0,0.0,300,-440,draftkings,Under,-440,0.2272727272727273,1.0,0.7295797558687902,p 100%; opp allow 4.80; line 0.5,1.0
2026-03-01,Dmitry Orlov,SJS,WPG,POINTS,0.5,0.0,0.0,200,-275,betmgm,Under,-275,0.36363636363636376,1.0,0.7021052718719555,p 100%; opp allow 8.50; line 0.5,1.0
2026-03-01,Dmitry Orlov,SJS,WPG,ASSISTS,0.5,0.0,0.0,240,-350,betmgm,Under,-350,0.2857142857142856,1.0,0.7001532199269556,p 100%; opp allow 5.40; line 0.5,1.0
2026-03-01,Mikael Backlund,CGY,ANA,GOALS,0.5,0.0002,6.3e-05,320,-490,fanduel,Under,-490,0.20400577551020405,0.999937,0.6963179280133782,p 100%; opp allow 3.20; line 0.5,0.999937
2026-03-01,Yegor Sharangovich,CGY,ANA,ASSISTS,0.5,0.0,0.0,300,-450,betmgm,Under,-450,0.22222222222222232,1.0,0.695100883666707,p 100%; opp allow 5.50; line 0.5,1.0
2026-03-01,Emil Heineman,NYI,FLA,ASSISTS,0.5,0.0,0.0,360,-550,betmgm,Under,-550,0.18181818181818188,1.0,0.6900734948522615,p 100%; opp allow 5.60; line 0.5,1.0
2026-03-01,Tyler Bertuzzi,CHI,UTA,GOALS,0.5,0.0582,0.053875,260,-390,fanduel,Under,-390,0.18872115384615382,0.946125,0.6889840641563134,p 95%; opp allow 2.80; line 0.5,0.946125
2026-03-01,Dylan DeMelo,WPG,SJS,POINTS,0.5,0.0,0.0,220,-300,betmgm,Under,-300,0.33333333333333326,1.0,0.6761063391445392,p 100%; opp allow 9.30; line 0.5,1.0
2026-03-01,Sam Bennett,FLA,NYI,GOALS,0.5,0.0932,0.084562,220,-310,fanduel,Under,-310,0.2107405806451612,0.915438,0.6724481439782863,p 92%; opp allow 2.70; line 0.5,0.915438
2026-03-01,Dylan DeMelo,WPG,SJS,ASSISTS,0.5,0.0,0.0,270,-385,draftkings,Under,-385,0.2597402597402598,1.0,0.6707001247020221,p 100%; opp allow 6.00; line 0.5,1.0
2026-03-01,Frank Nazar,CHI,UTA,GOALS,0.5,0.0871,0.078187,360,-600,fanduel,Under,-600,0.07544850000000006,0.921813,0.6695344641563135,p 92%; opp allow 2.80; line 0.5,0.921813
2026-03-01,Aaron Ekblad,FLA,NYI,ASSISTS,0.5,0.1262,0.107938,210,-295,betmgm,Under,-295,0.19445589830508475,0.892062,0.6563801587844297,p 89%; opp allow 4.50; line 0.5,0.892062
2026-03-01,Aaron Ekblad,FLA,NYI,POINTS,0.5,0.1225,0.107563,165,-220,betmgm,Under,-220,0.2980901818181819,0.892437,0.6562377913143542,p 89%; opp allow 7.20; line 0.5,0.892437
2026-03-01,Gustav Forsling,FLA,NYI,ASSISTS,0.5,0.1262,0.109812,220,-300,betmgm,Under,-300,0.1869173333333332,0.890188,0.6548809587844296,p 89%; opp allow 4.50; line 0.5,0.890188
2026-03-01,Kiefer Sherwood,SJS,WPG,GOALS,0.5,0.0712,0.068937,250,-360,fanduel,Under,-360,0.189691611111111,0.931063,0.6504342317489412,p 93%; opp allow 3.10; line 0.5,0.931063
2026-03-01,Matt Coronato,CGY,ANA,GOALS,0.5,0.0784,0.072625,275,-420,fanduel,Under,-420,0.14817857142857155,0.9273750000000001,0.6382683280133783,p 93%; opp allow 3.20; line 0.5,0.9273750000000001
2026-03-01,Will Smith,SJS,WPG,GOALS,0.5,0.0945,0.0855,230,-330,fanduel,Under,-330,0.19162121212121203,0.9145,0.6371838317489412,p 91%; opp allow 3.10; line 0.5,0.9145
2026-03-01,Yegor Sharangovich,CGY,ANA,GOALS,0.5,0.0784,0.074125,290,-440,fanduel,Under,-440,0.1363011363636364,0.925875,0.6370683280133782,p 93%; opp allow 3.20; line 0.5,0.925875
2026-03-01,Yegor Sharangovich,CGY,ANA,POINTS,0.5,0.0899,0.083062,145,-188,draftkings,Under,-188,0.40486246808510634,0.917063,0.6291414957592217,p 92%; opp allow 8.70; line 0.5,0.917063
2026-03-01,Mason McTavish,ANA,CGY,ASSISTS,0.5,0.1198,0.106875,185,-250,betmgm,Under,-250,0.25037499999999985,0.893125,0.619704774084969,p 89%; opp allow 5.30; line 0.5,0.893125
2026-03-01,Emil Heineman,NYI,FLA,GOALS,0.5,0.0801,0.073375,350,-550,fanduel,Under,-550,0.09510227272727281,0.926625,0.6195728135996619,p 93%; opp allow 3.40; line 0.5,0.926625
2026-03-01,Anders Lee,NYI,FLA,GOALS,0.5,0.0945,0.086438,290,-450,fanduel,Under,-450,0.11657577777777786,0.913562,0.6091224135996618,p 91%; opp allow 3.40; line 0.5,0.913562
2026-03-01,Emil Heineman,NYI,FLA,POINTS,0.5,0.1049,0.096562,155,-210,betmgm,Under,-210,0.33364657142857146,0.903438,0.6084116158292722,p 90%; opp allow 9.00; line 0.5,0.903438
2026-03-01,Connor Zary,CGY,ANA,ASSISTS,0.5,0.1207,0.109625,280,-400,betmgm,Under,-400,0.11296875000000003,0.890375,0.6074008836667069,p 89%; opp allow 5.50; line 0.5,0.890375
2026-03-01,Blake Coleman,CGY,ANA,ASSISTS,0.5,0.1239,0.111625,350,-550,betmgm,Under,-550,0.049897727272727344,0.888375,0.6058008836667069,p 89%; opp allow 5.50; line 0.5,0.888375
2026-03-01,Dylan Holloway,STL,MIN,GOALS,0.5,0.1208,0.105563,300,-470,fanduel,Under,-470,0.08474274468085119,0.894437,0.6027637788380282,p 89%; opp allow 3.30; line 0.5,0.894437
2026-03-01,Sam Bennett,FLA,NYI,ASSISTS,0.5,0.2074,0.17,155,-204,draftkings,Under,-204,0.22922549019607852,0.824875,0.6026305587844297,p 82%; opp allow 4.50; line 0.5,0.824875
2026-03-01,Chris Kreider,ANA,CGY,ASSISTS,0.5,0.1552,0.135,180,-250,betmgm,Under,-250,0.2109999999999999,0.865,0.5972047740849691,p 86%; opp allow 5.30; line 0.5,0.865
2026-03-01,Matthew Tkachuk,FLA,NYI,GOALS,0.5,0.235,0.190062,180,-250,fanduel,Under,-250,0.1339132,0.809938,0.5880481439782864,p 81%; opp allow 2.70; line 0.5,0.809938
2026-03-01,Connor Bedard,CHI,UTA,ASSISTS,0.5,0.2149,0.179063,125,-165,betmgm,Under,-165,0.3184745757575757,0.820937,0.5863293558687902,p 82%; opp allow 4.80; line 0.5,0.820937
2026-03-01,Brad Marchand,FLA,NYI,GOALS,0.5,0.2479,0.1965,220,-310,fanduel,Under,-310,0.06269354838709673,0.8035,0.5828977439782864,p 80%; opp allow 2.70; line 0.5,0.8035
2026-03-01,Frank Nazar,CHI,UTA,ASSISTS,0.5,0.2331,0.194312,220,-300,betmgm,Under,-300,0.07425066666666658,0.805688,0.5741301558687901,p 81%; opp allow 4.80; line 0.5,0.805688
