date,home,away,market,bet,price,model_prob,ev,edge,book,total_line_used
2025-09-24T00:00:00Z,Nashville Predators,Tampa Bay Lightning,puckline,away_pl_+1.5,-110.0,0.9841,0.8787363636363636,,,6.0
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,puckline,away_pl_+1.5,-110.0,0.9369,0.7886272727272727,,,6.0
2025-09-24T00:00:00Z,Winnipeg Jets,Edmonton Oilers,puckline,away_pl_+1.5,-110.0,0.9153,0.7473909090909092,,,6.0
2025-09-23T23:00:00Z,Detroit Red Wings,Chicago Blackhawks,puckline,home_pl_-1.5,-110.0,0.8826,0.6849636363636366,,,6.0
2025-09-23T23:00:00Z,Montréal Canadiens,Philadelphia Flyers,puckline,home_pl_-1.5,-110.0,0.8349,0.5939,,,6.0
2025-09-24T00:00:00Z,Winnipeg Jets,Edmonton Oilers,totals,under,-110.0,0.7219,0.3781727272727273,,,6.0
2025-09-23T23:00:00Z,New Jersey Devils,New York Islanders,puckline,home_pl_-1.5,-110.0,0.7204,0.37530909090909104,,,6.0
2025-09-23T23:00:00Z,Buffalo Sabres,Columbus Blue Jackets,puckline,home_pl_-1.5,-110.0,0.7007,0.3377,,,6.0
2025-09-24T00:00:00Z,Dallas Stars,Minnesota Wild,totals,under,-110.0,0.6819,0.3018090909090909,,,6.0
2025-09-23T23:00:00Z,Toronto Maple Leafs,Ottawa Senators,puckline,away_pl_+1.5,-110.0,0.6715,0.28195454545454546,,,6.0
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,totals,under,-110.0,0.6665,0.27240909090909093,,,6.0
2025-09-24T01:00:00Z,Calgary Flames,Seattle Kraken,totals,under,-110.0,0.6486,0.23823636363636358,,,6.0
2025-09-23T23:00:00Z,New Jersey Devils,New York Islanders,totals,under,-110.0,0.6409,0.22353636363636376,,,6.0
2025-09-23T23:00:00Z,New York Rangers,Boston Bruins,puckline,away_pl_+1.5,-110.0,0.6355,0.2132272727272727,,,6.0
2025-09-24T00:00:00Z,Nashville Predators,Tampa Bay Lightning,totals,under,-110.0,0.6237,0.1907000000000001,,,6.0
2025-09-23T23:00:00Z,Buffalo Sabres,Columbus Blue Jackets,totals,under,-110.0,0.6104,0.16530909090909107,,,6.0
2025-09-23T23:00:00Z,Detroit Red Wings,Chicago Blackhawks,totals,under,-110.0,0.5956,0.13705454545454554,,,6.0
2025-09-24T01:00:00Z,Calgary Flames,Seattle Kraken,puckline,away_pl_+1.5,-110.0,0.5594,0.06794545454545464,,,6.0
2025-09-23T23:00:00Z,Montréal Canadiens,Philadelphia Flyers,totals,under,-110.0,0.5488,0.04770909090909087,,,6.0
