date,home,away,market,bet,price,model_prob,ev,edge,book,result
2025-10-11T23:00:00Z,Tampa Bay Lightning,New Jersey Devils,puckline,home_pl_-1.5,178.0,0.7623818569977592,1.1194,0.4173,bovada,
2025-10-11T23:00:00Z,Pittsburgh Penguins,New York Rangers,moneyline,home_ml,122.0,0.89501866773078,0.9869,0.4607,bovada,
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,puckline,home_pl_-1.5,175.0,0.7144849798964944,0.9648,0.3652,bovada,
2025-10-11T17:30:00Z,Winnipeg Jets,Los Angeles Kings,puckline,home_pl_-1.5,210.0,0.5707520053389765,0.7693,0.2596,bovada,
2025-10-12T02:00:00Z,Seattle Kraken,Vegas Golden Knights,moneyline,home_ml,140.0,0.7245040049927383,0.7388,0.3236,bovada,
2025-10-11T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,moneyline,home_ml,127.0,0.7064924725978263,0.6037,0.2811,bovada,
2025-10-12T02:00:00Z,San Jose Sharks,Anaheim Ducks,puckline,away_pl_+1.5,-110.0,0.8217623566607709,0.5688190445341991,,,
2025-10-11T23:00:00Z,Tampa Bay Lightning,New Jersey Devils,moneyline,home_ml,-142.0,0.9012198125808792,0.5359,0.3355,bovada,
2025-10-11T23:00:00Z,Chicago Blackhawks,Montréal Canadiens,puckline,away_pl_+1.5,-110.0,0.8025226412563047,0.5320886787620362,,,
2025-10-12T00:00:00Z,Minnesota Wild,Columbus Blue Jackets,puckline,home_pl_-1.5,168.0,0.5640523172497116,0.5117,0.2044,bovada,
2025-10-12T02:00:00Z,Edmonton Oilers,Vancouver Canucks,puckline,home_pl_-1.5,158.0,0.5737870626387442,0.4804,0.199,bovada,
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,moneyline,home_ml,-145.0,0.8691885393496075,0.4686,0.2981,bovada,
2025-10-11T23:00:00Z,Pittsburgh Penguins,New York Rangers,puckline,home_pl_-1.5,-110.0,0.738251672083315,0.4093895557954196,,,
