player,position,team
Corey Perry,F,LAK
Alex Ovechkin,F,WSH
Anze Kopitar,F,LAK
Claude Giroux,F,OTT
Mikael Backlund,F,CGY
Drew Doughty,F,LAK
John Carlson,F,WSH
Matt Duchene,F,DAL
Brayden Schenn,F,STL
Nazem Kadri,F,CGY
Dmitry Orlov,F,SJS
Tyler Toffoli,F,SJS
Justin Faulk,F,STL
Cam Fowler,F,STL
Jeff Skinner,F,SJS
Brendan Gallagher,F,MTL
Blake Coleman,F,CGY
Jonathan Huberdeau,F,CGY
Mike Matheson,F,MTL
Teuvo Teravainen,F,CHI
MacKenzie Weegar,F,CGY
Pavel Buchnevich,F,STL
Andre Burakovsky,F,CHI
Tyler Bertuzzi,F,CHI
Alexander Wennberg,F,SJS
Kevin Fiala,F,LAK
Nick Schmaltz,F,UTA
Adrian Kempe,F,LAK
Ryan Donato,F,CHI
Warren Foegele,F,LAK
Rasmus Andersson,F,CGY
Mikko Rantanen,F,DAL
Dylan Strome,F,WSH
Roope Hintz,F,DAL
Anthony Beauvillier,F,WSH
Thomas Chabot,F,OTT
Lawson Crouse,F,UTA
Clayton Keller,F,UTA
Jakob Chychrun,F,WSH
Jordan Kyrou,F,STL
Mikhail Sergachev,F,UTA
Michael Carcone,F,UTA
Nick Suzuki,F,MTL
Robert Thomas,F,STL
Jason Robertson,F,DAL
Morgan Frost,F,CGY
Miro Heiskanen,F,DAL
Fabian Zetterlund,F,OTT
Drake Batherson,F,OTT
Sean Durzi,F,UTA
Joel Farabee,F,CGY
Brady Tkachuk,F,OTT
Barrett Hayton,F,UTA
Noah Dobson,F,MTL
Yegor Sharangovich,F,CGY
Dylan Cozens,F,OTT
Cole Caufield,F,MTL
Connor McMichael,F,WSH
Thomas Harley,F,DAL
Shane Pinto,F,OTT
Ilya Mikheyev,F,CHI
Justin Sourdif,F,WSH
Jake Neighbours,F,STL
Jake Sanderson,F,OTT
Tim Stützle,F,OTT
Quinton Byfield,F,LAK
Alex Laferriere,F,LAK
JJ Peterka,F,UTA
William Eklund,F,SJS
Matt Coronato,F,CGY
Dylan Guenther,F,UTA
Brandt Clarke,F,LAK
Wyatt Johnston,F,DAL
Oliver Kapanen,F,MTL
Ryan Greene,F,CHI
Lane Hutson,F,MTL
Juraj Slafkovsky,F,MTL
Jimmy Snuggerud,F,STL
Andrei Kuzmenko,F,LAK
Nick Lardis,F,CHI
Ryan Leonard,F,WSH
Artyom Levshunov,F,CHI
Macklin Celebrini,F,SJS
Collin Graf,F,SJS
Ivan Demidov,F,MTL
Igor Chernyshov,F,SJS
