gamePk,date,team,player_id,full_name,position,shots,goals,saves
2025020788,2026-01-21,Toronto Maple Leafs,8484158,Easton Cowan,F,2,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8477503,Max Domi,F,1,1,0
2025020788,2026-01-21,Toronto Maple Leafs,8475714,Calle Jarnkrok,F,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8478057,Dakota Joshua,F,0,1,0
2025020788,2026-01-21,Toronto Maple Leafs,8482720,Matthew Knies,F,1,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8476872,Scott Laughton,F,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8478904,Steven Lorentz,F,1,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8481711,Matias Maccelli,F,3,1,0
2025020788,2026-01-21,Toronto Maple Leafs,8479318,Auston Matthews,F,1,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8482259,Bobby McMann,F,2,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8477939,William Nylander,F,1,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8484901,Jacob Quillan,F,1,1,0
2025020788,2026-01-21,Toronto Maple Leafs,8481582,Nicholas Robertson,F,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8478462,Nicolas Roy,F,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8475166,John Tavares,F,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8481122,Simon Benoit,D,3,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8478443,Brandon Carlo,D,3,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8475171,Oliver Ekman-Larsson,D,0,1,0
2025020788,2026-01-21,Toronto Maple Leafs,8476931,Jake McCabe,D,2,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8477541,Dakota Mermis,D,1,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8479026,Philippe Myers,D,1,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8476853,Morgan Rielly,D,1,1,0
2025020788,2026-01-21,Toronto Maple Leafs,8479442,Troy Stecher,D,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8475690,Chris Tanev,D,1,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8481567,Henry Thrun,D,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8476932,Anthony Stolarz,G,0,0,0
2025020788,2026-01-21,Toronto Maple Leafs,8479361,Joseph Woll,G,0,0,29
2025020788,2026-01-21,Detroit Red Wings,8478891,Mason Appleton,F,2,0,0
2025020788,2026-01-21,Detroit Red Wings,8477456,J.T. Compher,F,3,0,0
2025020788,2026-01-21,Detroit Red Wings,8477429,Andrew Copp,F,4,0,0
2025020788,2026-01-21,Detroit Red Wings,8479337,Alex DeBrincat,F,3,0,0
2025020788,2026-01-21,Detroit Red Wings,8484471,Emmitt Finnie,F,2,0,0
2025020788,2026-01-21,Detroit Red Wings,8474141,Patrick Kane,F,1,0,0
2025020788,2026-01-21,Detroit Red Wings,8483464,Marco Kasper,F,1,0,0
2025020788,2026-01-21,Detroit Red Wings,8477946,Dylan Larkin,F,4,0,0
2025020788,2026-01-21,Detroit Red Wings,8479992,Michael Rasmussen,F,2,0,0
2025020788,2026-01-21,Detroit Red Wings,8482078,Lucas Raymond,F,0,0,0
2025020788,2026-01-21,Detroit Red Wings,8481725,Elmer Soderblom,F,0,0,0
2025020788,2026-01-21,Detroit Red Wings,8474037,James van Riemsdyk,F,0,0,0
2025020788,2026-01-21,Detroit Red Wings,8480879,Jacob Bernard-Docker,D,0,0,0
2025020788,2026-01-21,Detroit Red Wings,8475279,Ben Chiarot,D,0,0,0
2025020788,2026-01-21,Detroit Red Wings,8482762,Simon Edvinsson,D,2,0,0
2025020788,2026-01-21,Detroit Red Wings,8476979,Erik Gustafsson,D,1,1,0
2025020788,2026-01-21,Detroit Red Wings,8474612,Travis Hamonic,D,1,1,0
2025020788,2026-01-21,Detroit Red Wings,8481607,Albert Johansson,D,1,0,0
2025020788,2026-01-21,Detroit Red Wings,8484223,Axel Sandin-Pellikka,D,4,0,0
2025020788,2026-01-21,Detroit Red Wings,8481542,Moritz Seider,D,0,0,0
2025020788,2026-01-21,Detroit Red Wings,8476434,John Gibson,G,0,0,19
2025020788,2026-01-21,Detroit Red Wings,8475660,Cam Talbot,G,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8482947,Zakhar Bardakov,F,1,1,0
2025020789,2026-01-21,Colorado Avalanche,8484149,Gavin Brindley,F,1,0,0
2025020789,2026-01-21,Colorado Avalanche,8479525,Ross Colton,F,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8480835,Jack Drury,F,1,0,0
2025020789,2026-01-21,Colorado Avalanche,8480448,Parker Kelly,F,2,0,0
2025020789,2026-01-21,Colorado Avalanche,8481641,Joel Kiviranta,F,1,0,0
2025020789,2026-01-21,Colorado Avalanche,8476455,Gabriel Landeskog,F,2,0,0
2025020789,2026-01-21,Colorado Avalanche,8477476,Artturi Lehkonen,F,5,1,0
2025020789,2026-01-21,Colorado Avalanche,8477492,Nathan MacKinnon,F,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8482953,Taylor Makar,F,1,0,0
2025020789,2026-01-21,Colorado Avalanche,8480039,Martin Necas,F,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8475754,Brock Nelson,F,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8477501,Valeri Nichushkin,F,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8478109,Victor Olofsson,F,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8482072,Jack Ahcan,D,1,0,0
2025020789,2026-01-21,Colorado Avalanche,8470613,Brent Burns,D,3,0,0
2025020789,2026-01-21,Colorado Avalanche,8479398,Samuel Girard,D,3,0,0
2025020789,2026-01-21,Colorado Avalanche,8480069,Cale Makar,D,1,0,0
2025020789,2026-01-21,Colorado Avalanche,8484258,Sam Malinski,D,1,0,0
2025020789,2026-01-21,Colorado Avalanche,8476312,Josh Manson,D,2,1,0
2025020789,2026-01-21,Colorado Avalanche,8478038,Devon Toews,D,0,0,0
2025020789,2026-01-21,Colorado Avalanche,8478406,Mackenzie Blackwood,G,0,0,26
2025020789,2026-01-21,Colorado Avalanche,8485473,Isak Posch,G,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8484153,Leo Carlsson,F,6,0,0
2025020789,2026-01-21,Anaheim Ducks,8482118,Sam Colangelo,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8483445,Cutter Gauthier,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8475798,Mikael Granlund,F,0,0,0
