gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away
2025020770,2026-01-19,Carolina Hurricanes,Buffalo Sabres,17,9,4,21,10,5,2,1,1,1,1,0
2025020771,2026-01-19,Colorado Avalanche,Washington Capitals,28,2,4,26,5,0,2,1,0,2,0,0
2025020772,2026-01-19,Seattle Kraken,Pittsburgh Penguins,23,4,4,25,3,1,2,0,0,3,0,0
2025020773,2026-01-19,Florida Panthers,San Jose Sharks,19,5,7,27,6,3,0,0,1,7,0,0
2025020774,2026-01-19,Toronto Maple Leafs,Minnesota Wild,27,0,4,29,2,0,2,0,1,5,1,0
2025020775,2026-01-19,Vegas Golden Knights,Philadelphia Flyers,21,14,1,28,5,8,3,2,0,1,0,0
2025020776,2026-01-19,Chicago Blackhawks,Winnipeg Jets,17,4,3,29,9,2,0,1,1,0,1,0
2025020777,2026-01-19,Calgary Flames,New Jersey Devils,15,8,2,22,2,8,1,1,0,3,0,1
2025020778,2026-01-19,Vancouver Canucks,New York Islanders,24,5,1,18,0,2,1,0,0,2,0,0
2025020779,2026-01-19,Anaheim Ducks,New York Rangers,30,0,1,35,4,0,2,0,0,3,2,0
