gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020959,2026-03-03,Boston Bruins,Pittsburgh Penguins,2,1
2025020960,2026-03-03,Buffalo Sabres,Vegas Golden Knights,4,3
2025020961,2026-03-03,New Jersey Devils,Florida Panthers,7,3
2025020962,2026-03-03,Washington Capitals,Utah Mammoth,6,7
2025020963,2026-03-03,Columbus Blue Jackets,Nashville Predators,3,4
2025020964,2026-03-03,Winnipeg Jets,Chicago Blackhawks,4,7
2025020965,2026-03-03,Calgary Flames,Dallas Stars,5,6
2025020966,2026-03-03,Edmonton Oilers,Ottawa Senators,1,2
2025020967,2026-03-03,Minnesota Wild,Tampa Bay Lightning,2,3
2025020968,2026-03-03,Anaheim Ducks,Colorado Avalanche,3,4
2025020969,2026-03-03,San Jose Sharks,Montréal Canadiens,5,2
