date,player_id,player_name,team,market,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current
2025-11-21,8470621,Corey Perry,LAK,ASSISTS,0.5,230,-320,draftkings,2025-11-21T14:49:01.944108Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8470621,Corey Perry,LAK,ASSISTS,0.5,249,-361,pinnacle,2025-11-21T14:49:01.944108Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8470621,Corey Perry,LAK,GOALS,0.5,300,-450,fanduel,2025-11-21T14:49:01.944108Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8470621,Corey Perry,LAK,POINTS,0.5,120,-154,draftkings,2025-11-21T14:49:01.944108Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8470621,Corey Perry,LAK,POINTS,0.5,120,-160,pinnacle,2025-11-21T14:49:01.944108Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8470621,Corey Perry,LAK,SOG,1.5,-120,-108,fanduel,2025-11-21T14:49:01.944108Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,ASSISTS,0.5,100,-130,draftkings,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,ASSISTS,0.5,109,-131,pinnacle,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,GOALS,0.5,240,-350,fanduel,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,POINTS,0.5,-198,150,draftkings,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,POINTS,0.5,-208,154,pinnacle,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,SOG,2.5,115,-148,draftkings,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,SOG,2.5,122,-160,fanduel,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471215,Evgeni Malkin,PIT,SOG,2.5,117,-156,pinnacle,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471675,Sidney Crosby,PIT,ASSISTS,0.5,100,-130,draftkings,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471675,Sidney Crosby,PIT,ASSISTS,0.5,-102,-131,pinnacle,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471675,Sidney Crosby,PIT,GOALS,0.5,180,-250,fanduel,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471675,Sidney Crosby,PIT,POINTS,0.5,-218,165,draftkings,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471675,Sidney Crosby,PIT,POINTS,0.5,-232,170,pinnacle,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471675,Sidney Crosby,PIT,SOG,2.5,-115,-115,draftkings,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
2025-11-21,8471675,Sidney Crosby,PIT,SOG,2.5,-114,-114,fanduel,2025-11-21T14:49:01.884083Z,2025-11-21T14:49:01.996289Z,True
