date,player_id,player_name,team,market,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current,_merge_key
2026-03-23,8473512,Claude Giroux,OTT,ASSISTS,0.5,210,-285,betmgm,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,ASSISTS,0.5,210,-285,draftkings,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,ASSISTS,0.5,207,-291,pinnacle,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,POINTS,0.5,130,-175,betmgm,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,POINTS,0.5,135,-175,draftkings,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,POINTS,0.5,136,-182,pinnacle,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,SOG,1.5,-130,-105,betmgm,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,SOG,1.5,-125,-105,draftkings,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8473512,Claude Giroux,OTT,SOG,1.5,-126,-105,pinnacle,2026-03-23T14:15:39.188134Z,2026-03-23T14:15:39.340429Z,True,id::8473512
2026-03-23,8476389,Vincent Trocheck,NYR,ASSISTS,0.5,110,-150,betmgm,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,ASSISTS,0.5,115,-148,draftkings,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,ASSISTS,0.5,113,-150,pinnacle,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,GOALS,0.5,310,-470,fanduel,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,POINTS,0.5,-155,120,betmgm,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,POINTS,0.5,-154,120,draftkings,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,POINTS,0.5,-161,121,pinnacle,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,SOG,1.5,-160,120,betmgm,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,SOG,1.5,-154,120,draftkings,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,SOG,1.5,-148,114,fanduel,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476389,Vincent Trocheck,NYR,SOG,1.5,-163,122,pinnacle,2026-03-23T14:15:39.188134Z,2026-03-23T14:15:39.340429Z,True,id::8476389
2026-03-23,8476459,Mika Zibanejad,NYR,ASSISTS,0.5,100,-135,betmgm,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476459
2026-03-23,8476459,Mika Zibanejad,NYR,ASSISTS,0.5,100,-130,draftkings,2026-03-23T14:15:39.186768Z,2026-03-23T14:15:39.340429Z,True,id::8476459
